ID,Title,Category,Release_Date,Rating,Duration,Country,Data_Quality_Notes
1,Jaws,Movie,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
2,Titanic,Tv Show,2018-07-20,PG,120 min,Uk,Invalid date format
3,Interstellar,Film,,PG-13,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4,Jaws,Movie,2018-07-20,R,1 Season,India,Invalid date format
5,Avatar,Movie,,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
6,Unknown Title,Tv Show,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
7,Interstellar,Film,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
8,Interstellar,Movie,2019-01-01,PG,120 min,India,Invalid date format
9,Jaws,Movie,2019-01-01,R,2 Seasons,India,Rating values inconsistent
10,Inception,Movie,2018-07-20,PG,90 min,India,Rating values inconsistent
11,Avatar,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
12,Jaws,Movie,2019-01-01,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
13,Avatar,Unknown,2018-07-20,R,1 Season,India,"Cleaned missing values, standardized text & formats"
14,Avatar,Movie,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
15,Unknown Title,Movie,2018-07-20,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
16,Interstellar,Film,2018-07-20,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
17,Titanic,Film,2018-07-20,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
18,Unknown Title,Unknown,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
19,Unknown Title,Film,2018-07-20,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
20,Avatar,Tv Show,2018-07-20,PG,2 Seasons,India,Rating values inconsistent
21,The Dark Knight,Unknown,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
22,Interstellar,Film,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
23,Inception,Unknown,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
24,Unknown Title,Movie,,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
25,Titanic,Movie,2019-01-01,PG,120 min,Uk,Invalid date format
26,The Dark Knight,Unknown,2019-01-01,R,120 min,United States,"Cleaned missing values, standardized text & formats"
27,The Dark Knight,Tv Show,2018-07-20,NR,120 min,India,Rating values inconsistent
28,Inception,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
29,Unknown Title,Unknown,2018-07-20,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
30,Titanic,Film,2019-01-01,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
31,Interstellar,Tv Show,,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
32,The Matrix,Tv Show,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
33,Titanic,Movie,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
34,Inception,Movie,,PG-13,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
35,The Dark Knight,Unknown,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
36,Interstellar,Movie,,R,1 Season,Uk,"Cleaned missing values, standardized text & formats"
37,Titanic,Unknown,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
38,The Matrix,Movie,2019-01-01,PG,1 Season,India,Invalid date format
39,The Matrix,Movie,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
40,Avatar,Tv Show,,R,120 min,India,"Cleaned missing values, standardized text & formats"
41,Avatar,Tv Show,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
42,Jaws,Movie,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
43,Inception,Unknown,2019-01-01,NOT RATED,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
44,Unknown Title,Movie,2018-07-20,NOT RATED,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
45,Titanic,Movie,2019-01-01,NR,120 min,India,Country naming inconsistent
46,Titanic,Tv Show,2018-07-20,NOT RATED,120 min,Uk,Country naming inconsistent
47,Unknown Title,Movie,,R,90 min,India,"Cleaned missing values, standardized text & formats"
48,Jaws,Film,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
49,The Dark Knight,Movie,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
50,The Dark Knight,Film,,NR,1 Season,United States,"Cleaned missing values, standardized text & formats"
51,Jaws,Film,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
52,The Dark Knight,Film,2019-01-01,PG,1 Season,U.S.A,Invalid date format
53,Avatar,Tv Show,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
54,Titanic,Movie,2019-01-01,PG,90 min,Uk,Invalid date format
55,Jaws,Movie,2019-01-01,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
56,Titanic,Tv Show,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
57,Unknown Title,Movie,2019-01-01,R,90 min,India,"Cleaned missing values, standardized text & formats"
58,The Matrix,Tv Show,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
59,Avatar,Movie,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
60,Interstellar,Tv Show,,NR,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
61,Avatar,Unknown,2018-07-20,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
62,Jaws,Unknown,2019-01-01,NR,90 min,India,"Cleaned missing values, standardized text & formats"
63,Interstellar,Tv Show,,NR,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
64,The Matrix,Unknown,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
65,Jaws,Unknown,2019-01-01,PG-13,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
66,Inception,Movie,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
67,Titanic,Movie,,R,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
68,The Matrix,Movie,,R,1 Season,United States,"Cleaned missing values, standardized text & formats"
69,Titanic,Unknown,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
70,The Dark Knight,Tv Show,2018-07-20,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
71,Inception,Film,2018-07-20,NOT RATED,90 min,U.S.A,Data looks clean
72,Inception,Film,,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
73,The Matrix,Tv Show,2019-01-01,R,2 Seasons,U.S.A,Invalid date format
74,Inception,Film,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
75,Interstellar,Film,,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
76,Inception,Movie,2019-01-01,PG,1 Season,Uk,Invalid date format
77,Titanic,Movie,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
78,Titanic,Unknown,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
79,Jaws,Tv Show,2018-07-20,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
80,Titanic,Movie,2019-01-01,PG,2 Seasons,India,Data looks clean
81,Jaws,Tv Show,,R,,Unknown,"Cleaned missing values, standardized text & formats"
82,Titanic,Tv Show,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
83,Interstellar,Tv Show,2019-01-01,PG,1 Season,India,Invalid date format
84,Unknown Title,Unknown,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
85,Jaws,Tv Show,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
86,Avatar,Tv Show,2018-07-20,NOT RATED,90 min,U.S.A,Invalid date format
87,The Dark Knight,Tv Show,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
88,The Matrix,Tv Show,,PG-13,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
89,Titanic,Film,2018-07-20,NR,2 Seasons,India,Invalid date format
90,Inception,Tv Show,2018-07-20,R,120 min,U.S.A,Country naming inconsistent
91,Unknown Title,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
92,Titanic,Movie,2018-07-20,NR,1 Season,United States,Invalid date format
93,Inception,Unknown,2019-01-01,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
94,The Dark Knight,Unknown,2018-07-20,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
95,The Dark Knight,Movie,2018-07-20,R,,United States,"Cleaned missing values, standardized text & formats"
96,The Dark Knight,Unknown,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
97,Inception,Film,2019-01-01,PG,,India,"Cleaned missing values, standardized text & formats"
98,Titanic,Film,,R,,United States,"Cleaned missing values, standardized text & formats"
99,The Dark Knight,Movie,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
100,Interstellar,Movie,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
101,Jaws,Movie,2018-07-20,R,1 Season,U.S.A,Invalid date format
102,Inception,Unknown,2018-07-20,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
103,Inception,Film,2019-01-01,PG,1 Season,India,Country naming inconsistent
104,Titanic,Film,,R,,India,"Cleaned missing values, standardized text & formats"
105,Inception,Film,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
106,Inception,Movie,2019-01-01,PG,2 Seasons,Uk,Invalid date format
107,The Dark Knight,Film,2018-07-20,NR,90 min,Uk,Rating values inconsistent
108,Titanic,Movie,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
109,The Dark Knight,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
110,Jaws,Movie,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
111,Unknown Title,Unknown,,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
112,Jaws,Movie,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
113,Unknown Title,Unknown,2019-01-01,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
114,The Dark Knight,Tv Show,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
115,Jaws,Tv Show,,R,,Unknown,"Cleaned missing values, standardized text & formats"
116,Titanic,Tv Show,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
117,The Matrix,Unknown,2018-07-20,NOT RATED,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
118,The Dark Knight,Tv Show,,PG-13,,India,"Cleaned missing values, standardized text & formats"
119,Unknown Title,Tv Show,2018-07-20,R,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
120,Interstellar,Tv Show,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
121,Unknown Title,Unknown,,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
122,Interstellar,Tv Show,2018-07-20,PG,90 min,United States,Invalid date format
123,Inception,Tv Show,,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
124,Jaws,Unknown,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
125,Interstellar,Tv Show,2019-01-01,PG,1 Season,Uk,Invalid date format
126,Unknown Title,Film,2018-07-20,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
127,Inception,Unknown,,PG-13,,Uk,"Cleaned missing values, standardized text & formats"
128,The Matrix,Unknown,2019-01-01,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
129,Titanic,Tv Show,2018-07-20,PG,1 Season,India,Country naming inconsistent
130,Titanic,Film,,R,,India,"Cleaned missing values, standardized text & formats"
131,Titanic,Movie,,R,,Uk,"Cleaned missing values, standardized text & formats"
132,Interstellar,Tv Show,2018-07-20,NOT RATED,1 Season,Uk,Invalid date format
133,The Matrix,Tv Show,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
134,Interstellar,Unknown,,PG,,India,"Cleaned missing values, standardized text & formats"
135,Jaws,Tv Show,2018-07-20,PG,1 Season,India,Invalid date format
136,Interstellar,Tv Show,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
137,The Matrix,Tv Show,2019-01-01,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
138,The Matrix,Movie,2019-01-01,R,2 Seasons,United States,Data looks clean
139,Jaws,Movie,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
140,The Matrix,Tv Show,2018-07-20,NR,90 min,Uk,Invalid date format
141,Unknown Title,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
142,The Matrix,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
143,Titanic,Movie,2019-01-01,NR,120 min,U.S.A,Invalid date format
144,Unknown Title,Tv Show,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
145,Unknown Title,Film,2019-01-01,R,120 min,India,"Cleaned missing values, standardized text & formats"
146,Jaws,Tv Show,2019-01-01,PG-13,90 min,U.S.A,Rating values inconsistent
147,Avatar,Tv Show,,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
148,Avatar,Unknown,2018-07-20,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
149,The Matrix,Unknown,,R,120 min,India,"Cleaned missing values, standardized text & formats"
150,Unknown Title,Movie,2018-07-20,PG,,United States,"Cleaned missing values, standardized text & formats"
151,Avatar,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
152,Avatar,Movie,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
153,The Matrix,Unknown,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
154,Avatar,Film,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
155,Interstellar,Tv Show,2019-01-01,PG,2 Seasons,United States,Invalid date format
156,Inception,Movie,2018-07-20,R,2 Seasons,India,Rating values inconsistent
157,Jaws,Film,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
158,Inception,Tv Show,,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
159,The Matrix,Movie,2018-07-20,NOT RATED,120 min,India,Invalid date format
160,Titanic,Movie,,PG,,United States,"Cleaned missing values, standardized text & formats"
161,Jaws,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
162,The Matrix,Movie,,NR,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
163,Unknown Title,Movie,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
164,Titanic,Movie,2019-01-01,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
165,Inception,Movie,,PG,,United States,"Cleaned missing values, standardized text & formats"
166,The Matrix,Tv Show,2018-07-20,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
167,Unknown Title,Tv Show,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
168,Jaws,Tv Show,2018-07-20,NR,,United States,"Cleaned missing values, standardized text & formats"
169,Jaws,Tv Show,2018-07-20,PG,,Uk,"Cleaned missing values, standardized text & formats"
170,The Dark Knight,Tv Show,2019-01-01,NR,90 min,United States,Rating values inconsistent
171,Unknown Title,Movie,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
172,Interstellar,Film,2019-01-01,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
173,Avatar,Movie,,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
174,Titanic,Movie,2018-07-20,PG,2 Seasons,U.S.A,Invalid date format
175,Unknown Title,Unknown,,R,90 min,India,"Cleaned missing values, standardized text & formats"
176,The Dark Knight,Tv Show,,R,90 min,India,"Cleaned missing values, standardized text & formats"
177,Avatar,Movie,2018-07-20,PG,90 min,U.S.A,Invalid date format
178,Avatar,Film,2019-01-01,NOT RATED,1 Season,Uk,Rating values inconsistent
179,The Matrix,Movie,,R,120 min,United States,"Cleaned missing values, standardized text & formats"
180,Avatar,Tv Show,2019-01-01,PG-13,2 Seasons,India,Invalid date format
181,Interstellar,Tv Show,2018-07-20,R,,Unknown,"Cleaned missing values, standardized text & formats"
182,Jaws,Film,2018-07-20,PG,2 Seasons,India,Rating values inconsistent
183,The Dark Knight,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
184,Avatar,Tv Show,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
185,The Matrix,Movie,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
186,Interstellar,Movie,,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
187,Inception,Tv Show,,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
188,Jaws,Film,,R,,India,"Cleaned missing values, standardized text & formats"
189,Jaws,Film,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
190,The Dark Knight,Movie,,NR,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
191,Jaws,Film,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
192,Avatar,Film,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
193,The Matrix,Movie,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
194,Jaws,Tv Show,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
195,Jaws,Movie,,R,1 Season,Uk,"Cleaned missing values, standardized text & formats"
196,Inception,Movie,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
197,Inception,Tv Show,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
198,Titanic,Movie,2019-01-01,NOT RATED,2 Seasons,India,Invalid date format
199,Interstellar,Unknown,,R,120 min,India,"Cleaned missing values, standardized text & formats"
200,Avatar,Movie,2019-01-01,R,2 Seasons,India,Invalid date format
201,Jaws,Film,2019-01-01,NOT RATED,120 min,United States,Rating values inconsistent
202,Unknown Title,Tv Show,2018-07-20,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
203,Jaws,Movie,2019-01-01,PG,,India,"Cleaned missing values, standardized text & formats"
204,The Matrix,Movie,2019-01-01,NR,1 Season,India,Rating values inconsistent
205,Titanic,Tv Show,2018-07-20,NR,120 min,India,Country naming inconsistent
206,Interstellar,Film,,R,120 min,United States,"Cleaned missing values, standardized text & formats"
207,Unknown Title,Tv Show,,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
208,Titanic,Movie,2018-07-20,NR,1 Season,India,Invalid date format
209,The Dark Knight,Film,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
210,Interstellar,Unknown,2019-01-01,NR,,Uk,"Cleaned missing values, standardized text & formats"
211,Jaws,Tv Show,2019-01-01,R,120 min,India,Data looks clean
212,Jaws,Movie,2018-07-20,PG-13,,U.S.A,"Cleaned missing values, standardized text & formats"
213,Interstellar,Movie,2018-07-20,R,,Unknown,"Cleaned missing values, standardized text & formats"
214,Jaws,Tv Show,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
215,Avatar,Unknown,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
216,Interstellar,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
217,Titanic,Tv Show,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
218,Interstellar,Movie,2019-01-01,NR,120 min,India,Invalid date format
